"label","token"
"O","narrative"
"O",":"
"O","chest"
"O","2"
"O","views"
"O",":"
"O","03"
"O","/"
"O","29"
"O","/"
"O","2023"
"O","history"
"O",":"
"O","male"
"O",","
"O","70"
"O","years"
"O","old"
"O",","
"O","pre-admission"
"O","ancillary"
"O","studies"
"O","."
"O","comparison"
"O",":"
"O","none"
"O","impression"
"O",":"
"B-OBS-DP","normal"
"B-ANAT-DP","heart"
"B-ANAT-DP","size"
"O","and"
"B-ANAT-DP","pulmonary"
"B-ANAT-DP","vascularity"
"O","."
"O","no"
"B-OBS-DA","focal"
"B-OBS-DA","consolidation"
"O",","
"B-ANAT-DP","pleural"
"B-OBS-DA","effusion"
"O",","
"O","or"
"B-OBS-DA","pneumothorax"
"O","."
"B-ANAT-DP","bones"
"O","are"
"B-OBS-DP","unremarkable"
"O","."
"O","summary"
"O",":"
"O","1-no"
"B-OBS-DA","significant"
"B-OBS-DA","abnormality"
"O","accession"
"O","number"
"O",":"
"B-OBS-DP","9125365033"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"B-ANAT-DP","dates"
"O","are"
"B-OBS-DP","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O","1"
"O","view"
"O","June"
"O","2005"
"O","clinical"
"O","history"
"O",":"
"O","63"
"O","years-old"
"O","male"
"O","."
"O","on"
"O","vent"
"O","comparison"
"O",":"
"O","06"
"O","/"
"O","02"
"O","/"
"O","06"
"O","and"
"O","0347"
"O","hours"
"O","impression"
"O",":"
"O","1"
"O","."
"O","single"
"O","portable"
"O","supine"
"O","view"
"O","of"
"O","the"
"O","chest"
"O","demonstrates"
"B-OBS-DP","stable"
"B-OBS-DP","positioning"
"O","of"
"O","the"
"O","previously"
"O","identified"
"B-OBS-DP","tracheostomy"
"B-OBS-DP","tube"
"O",","
"B-ANAT-DP","left"
"B-ANAT-DP","upper"
"B-ANAT-DP","extremity"
"B-OBS-DP","picc"
"B-OBS-DP","line"
"O",","
"O","single-lead"
"B-ANAT-DP","left"
"B-ANAT-DP","chest"
"B-ANAT-DP","wall"
"B-OBS-DP","pacemaker"
"O",","
"B-ANAT-DP","spinal"
"B-OBS-DP","hardware"
"O",","
"O","and"
"B-OBS-DP","enteric"
"B-OBS-DP","tube"
"O","."
"O","2"
"O","."
"O","there"
"O","has"
"O","been"
"B-OBS-DP","interval"
"B-OBS-DP","increase"
"O","in"
"B-OBS-DP","opacity"
"O","within"
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","lung"
"O",","
"O","most"
"B-OBS-DP","prominently"
"O","in"
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","mid"
"O","and"
"B-ANAT-DP","left"
"B-ANAT-DP","lower"
"B-ANAT-DP","lung"
"B-ANAT-DP","zones"
"O","compared"
"O","to"
"O","the"
"O","prior"
"O","exam"
"O",","
"O","concerning"
"O","for"
"B-OBS-DP","interval"
"B-OBS-DP","worsening"
"O","of"
"B-ANAT-DP","airspace"
"B-OBS-DP","disease"
"O",","
"O","with"
"O","possible"
"B-OBS-DP","increased"
"O","component"
"O","of"
"B-ANAT-DP","pleural"
"B-OBS-U","effusion"
"O","."
"O","3"
"O","."
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","lung"
"O","remains"
"B-OBS-DP","relatively"
"B-OBS-DP","clear"
"O",","
"O","with"
"B-OBS-DP","mild"
"B-ANAT-DP","pulmonary"
"B-OBS-DP","edema"
"O","visualized"
"O","."
"O","summary"
"O",":"
"O","4-possibly"
"O","significant"
"O","finding"
"O",","
"O","may"
"O","need"
"O","action"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","271847753"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O","2"
"O","views"
"O",","
"O","10"
"O","/"
"O","26"
"O","/"
"O","02"
"O","history"
"O",":"
"O","43"
"O","years"
"O","female"
"O",","
"O","sob"
"O",","
"O","immunocompromised"
"O",","
"O","bronchiectasis"
"O","comparison"
"O",":"
"O","ap"
"O","view"
"O","of"
"O","the"
"O","chest"
"O","dated"
"O","03"
"O","/"
"O","29"
"O","/"
"O","2002"
"O","technique"
"O",":"
"O","semi-upright"
"O","ap"
"O","view"
"O","of"
"O","the"
"O","chest"
"O","impression"
"O",":"
"O","1"
"O","."
"O","no"
"B-OBS-DA","focal"
"B-OBS-DA","infiltrate"
"O",","
"B-OBS-DA","effusion"
"O","or"
"B-OBS-DA","pneumothorax"
"O","."
"B-OBS-DP","stable"
